rid,name,category,rating,location
1,鼎泰豐(板橋店),台式,5,新北市板橋區新站路28號b1
2,星期五美式餐廳(信義餐廳),美式,5,台北市信義區忠孝東路五段8號2樓
3,金色三麥(臺北京站店),美式,5,台北市大同區承德路一段1號4樓
4,京都柚子豚骨拉麵(中山本店),日式,5,台北市中山區長安西路19巷2弄23號
5,隨意鳥地方101觀景餐廳,義式,5,台北市信義區信義路五段7號85F
6,澄食小人屋(湖光店),日式,5,114台北市內湖區成功路四段41巷1號
7,瓦城泰國料理(美麗華店),泰式,5,10491台北市中山區敬業三路20號2樓
8,初魚 鮨(泰順店),日式,5,106台北市大安區泰順街2-2號
9,The Antipodean Specialty Coffee（內湖本店）,早午餐,5,114台北市內湖區港墘路26巷4號
10,川妹子,川味,5,106台北市大安區光復南路240巷52號
11,輪流請客 x GLAMAIR(內湖店),韓式,5,11492台北市內湖區瑞光路589號
12,時時香 RICE BAR (美麗華店),中式,5,10491台北市中山區敬業三路20號5樓
13,麻辣的誘惑(淡大店),中式,1,251新北市淡水區北新路182巷21弄5號
14,比爾咕麵Be a good man,台式,3,251新北市淡水區北新路182巷5弄34號
15,大陸麵店,台式,5,251新北市淡水區北新路182巷5弄25號1樓
16,噴火龍,多樣,3,251新北市淡水區北新路182巷3弄16號
17,補蛋計畫,健康餐,5,251新北市淡水區北新路182巷3弄28號
18,川味串香 麵食館,川味,5,251新北市淡水區北新路182巷16號
19,日初早午餐,早午餐,5,251新北市淡水區北新路182巷35號
20,早 找餐,早午餐,4,251新北市淡水區北新路182巷5弄7號
21,波奇來一下 Take A Poke,健康餐,5,251新北市淡水區北新路182巷5弄8號
22,好糧(淡大店),健康餐,3,251新北市淡水區北新路184巷88號
23,那間丼飯,日式,5,251新北市淡水區北新路184巷52號
24,藏仁私廚,日式,5,251新北市淡水區北新路184巷152號金雞母社區1樓
25,滷獲至飽,台式,5,251新北市淡水區北新路184巷162號
26,煎匙早午餐揚州炒飯,多樣,4,251新北市淡水區北新路184巷180號168號
27,FiFi Natural．義式香草漢堡,美式,5,251新北市淡水區北新路184巷246號
28,迴味食光和風食堂,日式,4,251新北市淡水區北新路184巷168號
29,Otto Pasta(淡水店),義式,4,251新北市淡水區北新路184巷142弄12號
30,武狀緣豬腳飯麵館,台式,4,251新北市淡水區北新路182巷11號
